membrane,conditions,binary_gas_pair,gas_i_permeance_1e8_mol_m2_s_pa,gas_j_permeance_1e8_mol_m2_s_pa,separation_factor,reference
ZIF-69/Al2O3,"298 K, 1 bar",CO2/N2,10.34 (2.36),1.63 (1.06),6.3 (2.2),Fl76 [425]
ZIF-69/Al2O3,"298 K, 1 bar",CO2/CH4,10.23 (2.36),2.24 (0.86),4.6 (2.7),Fl76 [425]
ZIF-69/Al2O3,"298 K, 1 bar",CO2/CO,10.31 (2.36),2.05 (0.82),5.0 (2.9),Fl76 [425]
ZIF-90/Al2O3,"473 K, 1 bar",H2/CO2,20.2 (21.0),1.32 (1.34),15.3 (15.7),Fk76 [426]
ZIF-90/Al2O3,"473 K, 1 bar",H2/N2,21.4 (21.0),1.35 (1.28),15.8 (16.4),Fk76 [426]
ZIF-90/Al2O3,"473 K, 1 bar",H2/CH4,19.4 (21.0),1.03 (1.08),18.9 (19.3),Fk76 [426]
ZIF-95/Al2O3,"598 K, 1 bar",H2/CO2,195 (246),7.95 (7.04),25.7 (34.9),Fj76 [427]
ZIF-95/Al2O3,"598 K, 1 bar",H2/N2,218 (246),21.6 (22.7),10.1 (10.8),Fj76 [427]
ZIF-95/Al2O3,"598 K, 1 bar",H2/CH4,204 (246),18.5 (16.1),11.0 (15.3),Fj76 [427]
ZIF-95/Al2O3,"598 K, 1 bar",H2/C3H8,193 (246),3.23 (3.69),59.7 (66.8),Fj76 [427]
ZIF-100/Al2O3,"298 K, 1 bar",H2/CO2,5.8 (6.3),0.08 (0.081),72 (77),Fm76 [428]
ZIF-100/Al2O3,"298 K, 1 bar",H2/N2,6.2 (6.3),0.027 (0.25),22 (25),Fm76 [428]
ZIF-100/Al2O3,"298 K, 1 bar",H2/CH4,5.8 (6.3),0.14 (0.14),41 (46),Fm76 [428]
Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/CO2,10 (12.4),0.98 (1.1),10.5 (11),Fn76 [414]
Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/CH4,11 (12.4),2.1 (2.2),5.4 (5.6),Fn76 [414]
Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/N2,12 (12.4),0.33 (3.5),3.8 (3.5),Fn76 [414]
Amine-modified Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/CO2,7.6 (8.2),0.27 (0.28),28 (29),Fn76 [414]
Amine-modified Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/CH4,7.5 (8.2),1.3 (1.4),5.8 (5.8),Fn76 [414]
Amine-modified Mg-MOF-74/Al2O3,"298 K, 1 bar",H2/N2,7.6 (8.2),1.8 (1.9),4.2 (4.3),Fn76 [414]
HKUST-1/copper net,"298 K, 1 bar",H2/CO2,100,-,6.8,Fo76 [429]
Cu3(BTC)2/Al2O3 HCFs,"313 K, 1 bar",H2/CO2,4.1 (7.25),0.303 (0.55),13.56 (13.18),Fp76 [430]
Cu3(BTC)2/Al2O3 HCFs,"313 K, 1 bar",H2/N2,3.23 (7.25),0.37 (1.01),8.66 (7.18),Fp76 [430]
Cu3(BTC)2/Al2O3 HCFs,"313 K, 1 bar",H2/CH4,3.52 (7.25),0.57 (1.25),6.19 (5.8),Fp76 [430]
NH2-MIL-53(Al)/glass frit,"313 K, 1 bar",H2/CH4,151.7 (267.1),7.3 (14.4),20.7 (18.5),Fq76 [431]
NH2-MIL-53(Al)/glass frit,"313 K, 1 bar",H2/N2,179 (267.1),7.5 (13.7),23.9 (19.5),Fq76 [431]
NH2-MIL-53(Al)/glass frit,"313 K, 1 bar",H2/CO2,198.5 (267.1),6.4 (9.8),30.9 (27.3),Fq76 [431]
"[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,","[a]: The data presented in the parentheses is single gas permeation. [b]: The data presented in the parentheses is ideal gas selectivity. [c]: wet gas mixture consisted of 3.3 vol% H2O and 16.7 vol % CO2 in air. [d]: gas permeation in barrer (1 barrer = 3.347 × 10-16 mol·m-1·s-1·Pa-1) (fm75) [415]. [e]: gas permeation in GPU (1 GPU = 10-6 cm3 (STP) cm-2 s-1 (cm-Hg)-1). HF = Hollow fiber,"
